normal_form,type,variants_in_text,count
светозару,LOC,светозару,1
светозар серебряного,PER,светозара серебряного,1
светлый нагорья,LOC,светлого нагорья,1
светлая эдвин,PER,светлая эдвин,1
светла,PER,светла,1
сауроном,PER,сауроном,1
сауроновых ворот,LOC,сауроновых ворот,1
сауроновы,PER,сауроновы,1
сауроново,PER,сауроново,1
сауроновая,PER,сауроновой,1
сауронова дорога,LOC,сауронову дорогу,1
северный тракт,LOC,северным трактом,1
гризли шерстолапом,PER,гризли шерстолапом,1
северный лихолесье,LOC,северном лихолесье,1
гребешок,LOC,гребешок,1
северный ветер,LOC,северный ветер,1
северные,LOC,северные,1
грам,LOC,грам,1
град,LOC,града,1
северное государство,LOC,северного государства,1
благословенном край,LOC,благословенном краю,1
благословенного края,LOC,благословенного края,1
готовый,PER,готовый,1
благословенная страна,LOC,благословенная страна,1
большие,LOC,большими,1
большая медведица,LOC,большую медведицу,1
большак,PER,большак,1
болотищу,LOC,болотищу,1
государя фарамир,PER,государя фарамир,1
болотища,LOC,болотища,1
болота,PER,болота,1
болот,PER,болот,1
болот,LOC,болот,1
болоньских топей,LOC,болоньских топей,1
северн великокняжеский,PER,северн великокняжеский,1
сдубень,PER,сдубень,1
сгинут,PER,сгинут,1
сворачивающие,PER,сворачиваем,1
государь эомер ристанийский,PER,государю эомер ристанийский,1
семи каменьев,PER,семи каменьев,1
семи зрячие камни,LOC,семи зрячих камней,1
государь элессара,PER,государя элессара,1
селербэрном,PER,селербэрном,1
селербэрн,LOC,селербэрн,1
селенья,LOC,селенья,1
селебранты,PER,селебранты,1
государь белый древа,PER,государю белого древа,1
селебдор,LOC,селебдор,1
седьмой ярус,LOC,седьмом ярусе,1
седок хазуфел,PER,седок хазуфела,1
седой,PER,седой,1
северный ход,LOC,северного хода,1
серебрянке,PER,серебрянке,1
государи гондора,PER,государей гондора,1
серебристый,PER,серебристый,1
серебристую гавань,PER,серебристую гавань,1
громадине-человеку,PER,громадине-человеку,1
сердце пин,PER,сердце пина,1
сердце лориэн,PER,сердце лориэна,1
серая дружина,PER,серая дружина,1
серая дружина,LOC,серой дружины,1
громадинами,PER,громадинами,1
громадинам,PER,громадинам,1
семиречья,PER,семиречья,1
сильмарилл-то,PER,сильмарилл-то,1
сильмарилл,LOC,сильмарилл,1
громадина,PER,громадина,1
серый скиталец,PER,серый скиталец,1
серый воинства,PER,серого воинства,1
серп,PER,серп,1
сероструя,LOC,сероструя,1
грозный,LOC,грозный,1
сероструем,PER,сероструем,1
серому сумасброд,PER,серому сумасброду,1
серое воинство,LOC,серое воинство,1
серебряный лебедь,PER,серебряный лебедь,1
серебрянку,PER,серебрянку,1
серебрянку,LOC,серебрянку,1
скажи теоден,PER,скажи теодену,1
скажи денэтор,PER,скажи денэтору,1
сияя,PER,сияя,1
сирых равнинах,LOC,сирых равнинах,1
грози,PER,грози,1
сирые равнинах,LOC,сирых равнинах,1
сираннону,PER,сираннону,1
сираннонская долина,LOC,сираннонской долины,1
гриму,PER,гриму,1
синегорье,LOC,синегорье,1
сим,PER,сим,1
сильные,PER,сильным,1
сильмариллом,PER,сильмариллом,1
сильмарилла,PER,сильмарилла,1
сильмарилла,LOC,сильмарилла,1
гримдол,LOC,гримдол,1
скрутились,PER,скрутились,1
скромби,LOC,скромби,1
скользнув,PER,скользнув,1
скипетром ануминаса,PER,скипетром ануминаса,1
глаза мерри,PER,глаза мерри,1
скат,PER,ската,1
бирюка,LOC,бирюка,1
бирюк,LOC,бирюком,1
бирази,PER,бирази,1
бильбо торбинсом,PER,бильбо торбинсом,1
блистающих пещеры,LOC,блистающих пещер,1
блистающий,LOC,блистает,1
блистающие пещера агларонда,PER,блистающие пещеры агларонда,1
глаза,PER,глаза,1
блаженный край валаров,PER,блаженный край валаров,1
гладенькая,PER,гладенькая,1
блаженные берега,LOC,блаженные берега,1
блаженному край,PER,блаженному краю,1
благословенный край,PER,благословенного края,1
скары,LOC,скары,1
скар,PER,скар,1
главным назгул,PER,главным назгулом,1
скалистому,PER,скалистому,1
глухоманью,PER,глухоманью,1
скалистого,LOC,скалистого,1
слышь,PER,слышь,1
слышать-то,PER,слышать-то,1
слыхивал,PER,слыхивал,1
глухоманьем,LOC,глухоманьем,1
слушай-ка,PER,слушай-ка,1
сломанного меч,PER,сломанного меча,1
сломавший,PER,сломал,1
следы,PER,следы,1
следопыты,LOC,следопыты,1
следопыту,PER,следопыту,1
следопытов,PER,следопытов,1
следопытов,LOC,следопытов,1
следопыта,PER,следопыта,1
глухомань-то,PER,глухомань-то,1
глухомань,PER,глухомани,1
смиалы,PER,смиалы,1
смиалах землеройска,LOC,смиалах землеройска,1
смеркалось,PER,смеркалось,1
смеагорлум,PER,смеагорлум,1
смауга,LOC,смауга,1
смауг золоченый,PER,смауг золоченый,1
глухоманные земли,LOC,глухоманным землям,1
спровадим,PER,спровадим,1
спевший,PER,спою,1
спасенье,PER,спасенье,1
спасайтесь,PER,спасайтесь,1
соскочил,PER,соскочил,1
соня,PER,соня,1
сон,PER,сон,1
соловей,PER,соловей,1
сокрытая страна,LOC,сокрытой стране,1
глухоманной пустоши,LOC,глухоманной пустоши,1
бесноватая,PER,бесноватая,1
берутиэли,PER,берутиэли,1
берегонду,PER,берегонду,1
благословении,PER,благословении,1
благодарствуйте,PER,благодарствуйте,1
бифур,PER,бифур,1
битвенная свалка,LOC,битвенной свалке,1
гримблада,PER,гримблада,1
бит,PER,биту,1
бирючиха,PER,бирючиха,1
смотрящий,PER,смотри,1
смотрителю палаты,PER,смотрителю палат,1
гримбеорна,PER,гримбеорна,1
срывание предписаний,PER,срывание предписаний,1
средний клан,LOC,средний клан,1
средиземью,LOC,средиземью,1
средиземьем пролетавший,LOC,средиземьем пролетал,1
гримбеорн,PER,гримбеорн,1
средиземье-то,LOC,средиземье-то,1
средиземье три эльфийских кольца,LOC,средиземье три эльфийских кольца,1
средиземный мир,LOC,средиземного мира,1
средиземный,LOC,средиземным,1
среброга,PER,среброга,1
спрячь кольцо,PER,спрячь кольцо,1
старый гамлинг,PER,старый гамлинг,1
старый вяз,PER,старый вяз,1
гутлаф,PER,гутлаф,1
старкгорна,PER,старкгорна,1
старкгорна,LOC,старкгорна,1
старкгорн,PER,старкгорн,1
старина вил тополап,PER,старина вил тополап,1
старина балин,PER,старина балин,1
белый древом,LOC,белым древом,1
белый всадник гэндальф,PER,белый всадник гэндальф,1
белый всадник,PER,белому всаднику,1
белый,PER,белый,1
бильбо да фродо,PER,бильбо да фродо,1
билли,PER,билли,1
бессолнечный хребет,LOC,бессолнечный хребет,1
бессмертный,PER,бессмертный,1
бесноватую,LOC,бесноватую,1
бесноватой,PER,бесноватой,1
старец,PER,старец,1
старейший,PER,старейший,1
старая мельница,LOC,старая мельница,1
сстань,PER,сстань,1
сслучись,PER,сслучись,1
сскажем,PER,сскажем,1
сторож,PER,сторожа,1
стирающей,PER,стирающей,1
стерегут,PER,стерегут,1
гутвинэ,PER,гутвинэ,1
гурин высокий,PER,гурин высокий,1
гуор,PER,гуора,1
стезею бродяж,PER,стезею бродяж,1
гуляющий западный ветер,LOC,гуляет западный ветер,1
стезей,PER,стезей,1
старый крола,LOC,старого крола,1
старый крол,LOC,старым кролом,1
гулко,PER,гулко,1
сумрачном край,LOC,сумрачном краю,1
сумрачного нагорья,PER,сумрачного нагорья,1
сумрачного край,PER,сумрачного края,1
сумеречное озеро,LOC,сумеречного озера,1
сумасшедший торбинс,PER,сумасшедший торбинс,1
сударь,PER,сударь,1
стэрре,LOC,стэрре,1
струи,PER,струи,1
страна эльфы,LOC,стране эльфов,1
сторожевому пост,PER,сторожевому посту,1
сторожевой крепость,LOC,сторожевой крепости,1
сторожевой башня,LOC,сторожевой башни,1
сторожевая башня,LOC,сторожевой башне,1
сэму-то,PER,сэму-то,1
сэму,PER,сэму,1
сэммиуму,PER,сэммиуму,1
сэммиума неустрашимого,PER,сэммиума неустрашимого,1
сэммиума,PER,сэммиума,1
сэммиум смелый,PER,сэммиум смелый,1
гуго,PER,гуго,1
белогривка,PER,белогривка,1
белогривка,LOC,белогривка,1
белогриве,PER,белогриве,1
белогрива,LOC,белогрива,1
груз-наблюдатель,PER,груз-наблюдатель,1
береговины,LOC,береговины,1
бергаэль,PER,бергаэль,1
берг,PER,берг,1
беорн,PER,беорна,1
беорн,LOC,беорну,1
беляки,LOC,беляки,1
белый мост,LOC,белый мост,1
громадины-люди,LOC,громадины-люди,1
сэм пину,PER,сэм пину,1
сэм галадриэль,PER,сэму галадриэль,1
тар-атанамир,PER,тар-атанамир,1
тангородрима,PER,тангородрима,1
тангородрима,LOC,тангородрима,1
гэндальф фродо,PER,гэндальфа фродо,1
тама деловик,PER,тама деловика,1
тайнодола,LOC,тайнодола,1
тайнодол,PER,тайнодола,1
тайнодол,LOC,тайнодол,1
таимые чащобы,PER,таимые чащобы,1
сэрданом корабелом,PER,сэрданом корабелом,1
сэрдан корабела,PER,сэрдана корабела,1
сэрдан корабел,PER,сэрдан корабел,1
сэорл,PER,сэорл,1
гэндальф серым скиталец,PER,гэндальфа серым скитальцем,1
темноводная долина,LOC,темноводной долины,1
темень,PER,темень,1
тельчар,PER,тельчар,1
тельпериона,LOC,тельпериона,1
телперион,LOC,телпериона,1
телконтаром,PER,телконтаром,1
тауреморне,PER,тауреморне,1
тауреморналомэ,LOC,тауреморналомэ,1
таурелиломеа-тумбалеморна тумбалетауреа ломеанор,PER,таурелиломеа-тумбалеморна тумбалетауреа ломеанор,1
тасаринена,PER,тасаринена,1
тасаринена,LOC,тасаринена,1
таркун,PER,таркун,1
таргон,PER,таргон,1
тарбад,LOC,тарбад,1
тар-миньятур,PER,тар-миньятур,1
гэндальф светозар,PER,гэндальфа светозар,1
теоден ристанийский,PER,теоденом ристанийским,1
тень лихолесья,LOC,тени лихолесья,1
гэндальф леголас,PER,гэндальфа леголас,1
гэндальф владыке раздола,PER,гэндальф владыке раздола,1
тени,LOC,теней,1
темь,PER,темь,1
темным-темно,PER,темным-темно,1
темный лес,LOC,темный лес,1
темный,PER,темный,1
гэндальф боромир,PER,гэндальфа боромир,1
темные века,LOC,темные века,1
тинувиэль,LOC,тинувиэль,1
тинувиэли,PER,тинувиэли,1
тингола серая,PER,тингола серая,1
терном,PER,терном,1
гэндальф барлогу,PER,гэндальфа барлогу,1
теолен,PER,теолен,1
теодреда,PER,теодреда,1
белая,PER,белой,1
беин,PER,беина,1
безымянному перевал,LOC,безымянному перевалу,1
безухая,PER,безухая,1
безмолвно,LOC,безмолвно,1
белые ворот,LOC,белых ворот,1
белоногий,PER,белоногий,1
белокурск,LOC,белокурска,1
белое древо,LOC,белое древо,1
белогриву,PER,белогриву,1
белогривок,LOC,белогривку,1
белогривкой,PER,белогривкой,1
белогривка сливающиеся,LOC,белогривка сливаются,1
теодену ристанийекому,PER,теодену ристанийекому,1
гэндальф арагорн,PER,гэндальфа арагорн,1
теодена мерри,PER,теодена мерри,1
теодена гайма,PER,теодена гайма,1
гэлдора боромир,PER,гэлдора боромир,1
тол-брандира,LOC,тол-брандира,1
тода,PER,тода,1
тод пескунс,PER,тодом пескунсом,1
тод пескунс,LOC,тод пескунс,1
тогда-то,PER,тогда-то,1
тобольд громобой,PER,тобольд громобой,1
тобольд,PER,тобольда,1
тоби,PER,тоби,1
тирн гортхада,PER,тирн гортхада,1
гэлдора,PER,гэлдора,1
тор,PER,тор,1
тополап,PER,тополап,1
топи комариные,PER,топи комариные,1
давай-ка,PER,давай-ка,1
тому кольцо,PER,тому кольцо,1
да́ина i,PER,да́ина i,1
том золотинка,PER,тома золотинка,1
башка,PER,башка,1
бастион тьма,LOC,бастион тьмы,1
бархатку,PER,бархатку,1
барсуковин,LOC,барсуковин,1
белогорья,PER,белогорья,1
да фродо,PER,да фродо,1
белегост,LOC,белегост,1
белая крепость,PER,белой крепостью,1
да смеагорл,PER,да смеагорл,1
белая дружина,PER,белой дружиной,1
белая дева ристании,PER,белую деву ристании,1
белая владычица,PER,белой владычицей,1
только-то,PER,только-то,1
толстобрюхлы,PER,толстобрюхлы,1
толстобрюхлам,PER,толстобрюхлам,1
торбу-на-круче,PER,торбу-на-круче,1
торбу продал-лякошелям,PER,торбу продал-лякошелям,1
торбой,PER,торбой,1
торбинсах,PER,торбинсах,1
торбинса,PER,торбинса,1
торбинс-ворюга,PER,торбинс-ворюга,1
да кольцо-то,PER,да кольцо-то,1
торбе-на-круча,LOC,торбе-на-круче,1
торбе перегрин крол,LOC,торбе перегрин крол,1
да здравствующий фродо,PER,да здравствует фродо,1
трайгирн,LOC,трайгирна,1
траина,PER,траина,1
траин i,PER,траин i,1
тра́ин ii,PER,тра́ином ii,1
торосистые льды,LOC,торосистых льдов,1
торондор,PER,торондора,1
торин i,PER,торин i,1
торин,LOC,торина,1
торек-унгол,PER,торек-унгол,1
трехудельный камень,LOC,трехудельного камня,1
трех эльфийских,LOC,трех эльфийских,1
третье эльфийское кольцо нарья,PER,третье эльфийское кольцо нарья,1
тремя-то враг,PER,тремя-то враг,1
да арагорн-то,PER,да арагорн-то,1
трандуила,PER,трандуила,1
трактом пустошь,LOC,трактом пустошь,1
трактирщику (наркиссу),PER,трактирщику (наркиссу),1
гэндальфу боромир,PER,гэндальфу боромир,1
гилтониэль а элберет,PER,гилтониэль а элберет,1
баразинбар,LOC,баразинбар,1
бараз,LOC,бараз,1
гилраин,LOC,гилраина,1
бездонной мглой,PER,бездонной мглой,1
безвозмездному,PER,безвозмездному,1
бедняжечке смеагорлу,PER,бедняжечке смеагорлу,1
бедняга сэм,PER,бедняга сэм,1
бедный билл,PER,бедный билл,1
бедненький смеагорл,PER,бедненький смеагорл,1
беглецы,PER,беглецы,1
башням,LOC,башням,1
башня эктелиона,LOC,башней эктелиона,1
башня дарина,LOC,башне дарина,1
тракта,PER,тракта,1
трайгирна,LOC,трайгирна,1
тургона,PER,тургона,1
тумладена,LOC,тумладена,1
туда,LOC,туда,1
тростняк,PER,тростняк,1
трора,PER,трора,1
трор,LOC,трор,1
тропинка,LOC,тропинка,1
тронный зал  огнями,PER,"тронный зал

огнями",1
тролль,PER,тролль,1
три кольцо,LOC,три кольца,1
три кольца,LOC,три кольца,1
три,PER,три,1
трехудельный камень,PER,трехудельному камню,1
увидать,PER,увидать,1
увернувшись,PER,увернувшись,1
убирающийся,PER,убирайся,1
убежище,LOC,убежища,1
у ветлянки,PER,у ветлянки,1
тьмою,PER,тьмою,1
гил-гэлада,LOC,гил-гэлада,1
глубинный страже,LOC,глубинном страже,1
тучей,PER,тучей,1
тут фарамир,PER,тут фарамир,1
тут,PER,тут,1
тусклый,PER,тусклый,1
тусклоозера,LOC,тусклоозера,1
турином,PER,турином,1
глубин,LOC,глубин,1
укролье,PER,укролье,1
укролье,LOC,укролье,1
уймись,PER,уймись,1
глоину,PER,глоину,1
ужели,PER,ужели,1
удуна,LOC,удуна,1
удун,PER,удуном,1
угощению,PER,угощению,1
угощении,PER,угощении,1
угорье,PER,угорье,1
углуком,PER,углуком,1
углук,LOC,углука,1
увидевший,LOC,увидел,1
умбар,LOC,умбаре,1
глоина,LOC,глоина,1
улица фонарщиков,LOC,улица фонарщиков,1
улица безмолвия,PER,улицы безмолвия,1
улица безмолвия,LOC,улицу безмолвия,1
улетевший,PER,улетел,1
улетай,PER,улетай,1
укрынищс,LOC,укрынищс,1
укрывшие,LOC,укрывшие,1
укрывищу,LOC,укрывищу,1
укрывища,PER,укрывища,1
глеовин,PER,глеовин,1
укрывиш,LOC,укрывише,1
укролья,LOC,укролья,1
укрольных низин,LOC,укрольных низин,1
усыпален наместников,LOC,усыпальне наместников,1
уступ,PER,уступ,1
усталый,LOC,усталый,1
усеявших белый берег,LOC,усеявших белый берег,1
уразумел,PER,уразумел,1
ур-ра,PER,ур-ра,1
упрямец,PER,упрямец,1
управитель хоромин,PER,управителя хоромин,1
уплывших,PER,уплывших,1
унижение,PER,унижение,1
ундерхерга,LOC,ундерхерга,1
унголиант,PER,унголиант,1
умирай,PER,умирай,1
глаза фродо,PER,глаза фродо,1
ущелины,PER,ущелины,1
ущелины,LOC,ущелины,1
гэндальфа-те,PER,гэндальфа-те,1
ушищами,PER,ушищами,1
ушах,LOC,ушах,1
учтивые,PER,учтивые,1
уходившие,LOC,уходят,1
ухмыльнулся,PER,ухмыльнулся,1
уфтхак,PER,уфтхака,1
утонувший,PER,утонул,1
балинская летопись,LOC,балинскую летопись,1
балинская,PER,балинской,1
балдахин,PER,балдахин,1
багряную стрелу,PER,багряную стрелу,1
барлогом,PER,барлогом,1
барлогом,LOC,барлогом,1
барлога,PER,барлога,1
гэндальф-горевестник,PER,гэндальф-горевестник,1
бариза,PER,бариза,1
дама,PER,дамы,1
бард,LOC,барду,1
барандуином,PER,барандуином,1
далековато,PER,далековато,1
далекий путь,LOC,далекого пути,1
утесы скалистого,PER,утесы скалистого,1
усыпальню,LOC,усыпальню,1
дал-амрота,PER,дал-амрота,1
дайне,PER,дайне,1
усыпальне наместников,PER,усыпальне наместников,1
фангорн-лес,PER,фангорн-лес,1
дайна,LOC,дайна,1
ущельном,LOC,ущельном,1
ущельного излога,LOC,ущельного излога,1
ущельного излог,LOC,ущельного излога,1
даин чугунная пята,PER,даин чугунная пята,1
ущелье привидений,LOC,ущелье привидений,1
ущелье,LOC,ущелье,1
ущелицы,LOC,ущелицы,1
ущелицей,LOC,ущелицей,1
даин ii,PER,даином ii,1
ущелинь,LOC,ущелине,1
фарамиром,LOC,фарамиром,1
фарамирову,PER,фарамирову,1
фарамиров,PER,фарамиров,1
даин,PER,даин,1
фарамир-то,LOC,фарамир-то,1
фарамир смотритель,PER,фарамира смотритель,1
фануиндхола,LOC,фануиндхола,1
фануиндхол,PER,фануиндхол,1
фануиндхол,LOC,фануиндхол,1
фануилос,PER,фануилос,1
фангорнский лес,LOC,фангорнского леса,1
финдуиль амротская,PER,финдуиль амротская,1
финдуиль,PER,финдуиль,1
финглас,PER,финглас,1
финглас,LOC,финглас,1
дагорладь,LOC,дагорладе,1
фимбретили,PER,фимбретили,1
фили,LOC,фили,1
фзнгорн,LOC,фзнгорн,1
двиморберга,PER,двиморберга,1
фенгел,LOC,фенгел,1
багровые ворота,PER,багровые ворота,1
багровые ворота,LOC,багровые ворота,1
багровому рог,LOC,багровому рогу,1
багрового рог,LOC,багрового рога,1
ба,PER,ба,1
б.т.,PER,б.т.,1
барад-дуре,LOC,барад-дуре,1
барад-дура мечены,LOC,барад-дура мечены,1
двиморберг,PER,двиморбергу,1
балке-то,LOC,балке-то,1
двенадцатый наместник,PER,двенадцатого наместника,1
фен-холлен берегонд,PER,фен-холлена берегонд,1
фен-холлен,LOC,фен-холлен,1
феларофа,PER,феларофа,1
двалин,PER,двалин,1
фастред,PER,фастред,1
фаруилос,PER,фаруилос,1
форност,PER,форноста,1
форгойлам,PER,форгойлам,1
фольквин,LOC,фольквин,1
фолька,LOC,фолька,1
фольд,LOC,фольд,1
двадцать,LOC,двадцать,1
фолко,PER,фолко,1
фляга,PER,фляга,1
даровавший,PER,дарует,1
фириэнфсльд,PER,фириэнфсльд,1
фириэнфельд,PER,фириэнфельд,1
фириэнвуд,LOC,фириэнвуд,1
фириэль,PER,фириэль,1
фродо пин,PER,фродо пин,1
фродо гэндальф,PER,фродо гэндальфа,1
фродо галадриэль,PER,фродо галадриэль,1
фродо благословенный край,LOC,фродо благословенный край,1
фредик,PER,фредик,1
фредегара,PER,фредегара,1
фреалаф,PER,фреалаф,1
фреавин,LOC,фреавин,1
фреа,PER,фреа,1
фрар,PER,фрар,1
форокель,LOC,форокель,1
форност-эраин,PER,форност-эраин,1
харлондских пристаней,LOC,харлондских пристаней,1
харлондские,LOC,харлондские,1
харлондская гавань,LOC,харлондской гавани,1
харлонда андуин,PER,харлонда андуин,1
дарину,PER,дарину,1
хадор златовласого,PER,хадора златовласого,1
ха,PER,ха,1
фэрту теоден,PER,фэрту теоден,1
фэннас,PER,фэннас,1
даринский столп,PER,даринский столп,1
фрором,PER,фрором,1
фродо-то,PER,фродо-то,1
фродо том бомбадил,PER,фродо том бомбадил,1
фродо пину,PER,фродо пину,1
дарином,PER,дарином,1
хельмовой крепью,PER,хельмовой крепью,1
дарин бессмертным,PER,дарином бессмертным,1
хельмовой гати,PER,хельмовой гати,1
хельмовой гати,LOC,хельмовой гати,1
хельмово ущелье,LOC,хельмово ущелье,1
хельмова крепь,PER,хельмова крепь,1
дари,PER,дари,1
артамир,PER,артамир,1
ародя,PER,ароде,1
арода,LOC,арода,1
багряной стрелы,PER,багряной стрелы,1
багряная стрела,PER,багряная стрела,1
дар,PER,дара,1
девятерых,LOC,девятерых,1
багровый ужас,PER,багровый ужас,1
багровый рок,PER,багровый рок,1
багровый рог,LOC,багровый рог,1
багровый огонь,PER,багровый огонь,1
багровый враг,PER,багровый враг,1
хельма громобой,PER,хельма громобоя,1
хват,PER,хват,1
девятерым,PER,девятерым,1
хоббитана,PER,хоббитана,1
девятеро кольценосцев,PER,девятеро кольценосцев,1
хоббитам,PER,хоббитам,1
хоббит перегрин,PER,хоббит перегрин,1
хоб-биты,PER,хоб-биты,1
хоб колоток,PER,хоб колоток,1
хеннет-аннуна,LOC,хеннет-аннуна,1
хеннет-аннун,PER,хеннет-аннун,1
хельмову крепь,PER,хельмову крепь,1
хельмову крепь,LOC,хельмову крепь,1
хородримцы,LOC,хородримцы,1
хород,PER,хорода,1
хорн,PER,хорн,1
хопкин,PER,хопкин,1
хоббитов,PER,хоббитов,1
девятеро всадников,LOC,девятеро всадников,1
хоббитания,LOC,хоббитания,1
арвелег,PER,арвелег,1
арведуи,LOC,арведуи,1
арвегил,PER,арвегила,1
арахорн,PER,арахорна,1
арахель,PER,арахель,1
б. т.,PER,б. т.,1
атанатар алькарин,PER,атанатара алькарина,1
атанатар ii алькарин,PER,атанатара ii алькарина,1
атанатар,PER,атанатар,1
атанамир,PER,атанамир,1
асфалот,PER,асфалот,1
девятеро,LOC,девятеро,1
артедайн,LOC,артедайн,1
артедаина,LOC,артедаина,1
хоббитании рыщут,LOC,хоббитании рыщут,1
хоббитании отсюда,LOC,хоббитании отсюда,1
хранители кольца,PER,хранители кольца,1
дева ристании,PER,дева ристании,1
хранителей селербэрн,PER,хранителей селербэрн,1
хранителей,LOC,хранителей,1
хранителе,PER,хранителе,1
дева раздола,PER,дева раздола,1
хохотал,PER,хохотал,1
хотишь,PER,хотишь,1
хоромины,PER,хоромины,1
хороминах,LOC,хороминах,1
хороминами,PER,хороминами,1
хороминами,LOC,хороминами,1
хородя,LOC,хороде,1
дева,PER,дева,1
хэл,PER,хэл,1
хррум,PER,хррум,1
хрипло,PER,хрипло,1
дебрях,LOC,дебрях,1
гатью,PER,гатью,1
хранителям,LOC,хранителям,1
хранитель селербэрн,PER,хранителя селербэрн,1
гать,LOC,гать,1
хранитель,LOC,хранителе,1
целехонька,PER,целехонька,1
цветут луга,LOC,цветут луга,1
царство дайна,LOC,царства дайна,1
гати,LOC,гати,1
царевна эовин,PER,царевна эовин,1
царевич,PER,царевич,1
хэмбридх,PER,хэмбридха,1
хэм скромби,LOC,хэма скромби,1
арагорна леголас,PER,арагорна леголас,1
арагорна гэндальф,PER,арагорна гэндальф,1
арагорн-то,PER,арагорн-то,1
арагорн элессар,LOC,арагорне элессаре,1
арноре,LOC,арноре,1
арнора ануминас,LOC,арнора ануминасе,1
главный перекресток,LOC,главного перекрестка,1
арнор валандил,PER,арнора валандила,1
аргелеб второй,PER,аргелеб второй,1
арвен ундомиэль,PER,арвен ундомиэль,1
хэллиус,PER,хэллиус,1
хэлдару леголас,PER,хэлдару леголас,1
хэлдару гимли,PER,хэлдару гимли,1
хэлдару,PER,хэлдару,1
главнейшие смиалы,PER,главнейшие смиалы,1
хэлдара фродо,PER,хэлдара фродо,1
черная яма,LOC,черную яму,1
черная тень,LOC,черная тень,1
черная твердыня,PER,черной твердыни,1
черная немочь,PER,черной немочью,1
черная немочь,LOC,черная немочь,1
главарь кольценосцев,PER,главарь кольценосцев,1
через фольд,LOC,через фольд,1
чародейских дебрей дул-гулдура,PER,чародейских дебрей дул-гулдура,1
чародейских дебрей,LOC,чародейских дебрей,1
чародейские дебри,LOC,чародейские дебри,1
главарь,PER,главарь,1
чаровницу золотолесья,PER,чаровницу золотолесья,1
чаровницей,PER,чаровницей,1
ч-ш,PER,ч-ш,1
целитель,PER,целитель,1
черные ворота,LOC,черные ворота,1
черные ворот сумрачного край,LOC,черных ворот сумрачного края,1
гирфара,PER,гирфара,1
черные,LOC,черные,1
черною бездной,PER,черною бездной,1
черноречья,PER,черноречья,1
черноречьем,PER,черноречьем,1
черноречным каскад,PER,черноречным каскадом,1
гирлуин,PER,гирлуин,1
черноречному каскаду,PER,черноречному каскаду,1
черное воинство,LOC,черное воинство,1
черноводная,PER,черноводная,1
гимлиная,PER,гимлиной,1
деагорлу,PER,деагорлу,1
черный,PER,черный,1
черный,LOC,черного,1
черные нуменорцами,PER,черными нуменорцами,1
черные летуны,PER,черные летуны,1
черные лето,PER,черные лета,1
черные земли,PER,черных земель,1
черные горы,LOC,черных гор,1
черные вратами,PER,черными вратами,1
черные вратам,LOC,черным вратам,1
двупал,PER,двупал,1
черные воротами,LOC,черными воротами,1
чертополокс,LOC,чертополокс,1
чертоги,PER,чертоги,1
двоих-арагорн,PER,двоих-арагорн,1
черных ворот,PER,черных ворот,1
черных ворот,LOC,черных ворот,1
черный камень,LOC,черного камня,1
черный замок,PER,черного замка,1
черный главарь,PER,черного главаря,1
анориэн,PER,анориэна,1
анор,PER,анора,1
анжелика торбинс,PER,анжелика торбинс,1
андуиня,LOC,андуине,1
арафант арведуи,PER,арафанта арведуи,1
арафант,PER,арафант,1
араува,PER,араува,1
араторна,PER,араторна,1
аранарт,PER,аранарт,1
арагорну-следопыту,PER,арагорну-следопыту,1
двиморнеде,PER,двиморнеде,1
державный властитель,PER,державный властитель,1
черный воинства,LOC,черного воинства,1
черный властелин мордор,LOC,черным властелином мордора,1
черный владыка девятеро,PER,черного владыки девятеро,1
шаркичем,PER,шаркичем,1
шаграта,PER,шаграта,1
шаграт,LOC,шаграта,1
шагается,PER,шагается,1
ш-ш-ш,PER,ш-ш-ш,1
чшшш,PER,чшшш,1
чуяло,PER,чуяло,1
чудесное,LOC,чудесным,1
чистолесицу,LOC,чистолесицу,1
чирей-то,PER,чирея-то,1
четбор,PER,четбора,1
дереве белый,LOC,дереве белом,1
э-гой,PER,э-гой,1
э-гей,PER,э-гей,1
шшш,PER,шшш,1
штуковину,PER,штуковину,1
штуковина,PER,штуковина,1
ширриф норочкинс,PER,ширриф норочкинс,1
широкие,PER,широких,1
шерстопалы,PER,шерстопалы,1
дерев,LOC,дерев,1
дерворином,PER,дерворином,1
шерстолап,PER,шерстолап,1
шелоб-то,PER,шелоб-то,1
деор,LOC,деор,1
шатхур,PER,шатхур,1
шаркичу,PER,шаркичу,1
эданны,PER,эданны,1
эдаинов,PER,эдаинов,1
эдаинами (атани),PER,эдаинами (атани),1
эдаинами,PER,эдаинами,1
эдаинам,PER,эдаинам,1
эдаинам,LOC,эдаинам,1
эдаин,PER,эдаина,1
эге-ге,PER,эге-ге,1
эарнура,PER,эарнура,1
андрила,LOC,андрила,1
денэтору,PER,денэтору,1
денэтор ii,PER,денэтор ii,1
андомиэли,PER,андомиэли,1
ангреност,LOC,ангреност,1
арагорн хранителям,PER,арагорн хранителям,1
арагорн фродо,PER,арагорну фродо,1
арагорн ii,PER,арагорн ii,1
ар-фаразон златой,PER,ар-фаразон златой,1
девять всадники,PER,девять всадников,1
анфаласа,PER,анфаласа,1
девять,PER,девять,1
эарендила,PER,эарендила,1
эарендил-мореплаватель,PER,эарендил-мореплаватель,1
эарендил,LOC,эарендил,1
